,date,spot,label,pred
1899,06-19-2016,cannons_ferry,0,0
2295,10-17-2016,cannons_ferry,0,0
2063,10-20-2016,cannons_ferry,0,0
1516,10-23-2016,cannons_ferry,0,0
1869,10-26-2016,cannons_ferry,0,0
1938,11-06-2016,cannons_ferry,0,0
2349,11-08-2016,cannons_ferry,0,0
1313,11-11-2016,cannons_ferry,0,0
1586,11-12-2016,cannons_ferry,0,0
1839,11-22-2016,cannons_ferry,0,0
2084,12-09-2016,cannons_ferry,0,0
1471,12-15-2016,cannons_ferry,0,0
1904,12-30-2016,cannons_ferry,0,0
7271,01-25-2017,point_comfort,0,0
4830,01-25-2017,mt_gould,0,0
4896,01-25-2017,arrowhead_beach,0,0
1208,01-25-2017,cannons_ferry,0,0
3010,01-25-2017,rocky_hock_lane,0,0
4255,02-05-2017,mt_gould,0,0
6662,02-05-2017,point_comfort,0,0
556,02-05-2017,chowan_river,0,0
2532,02-05-2017,rocky_hock_lane,0,0
6144,02-05-2017,point_comfort,0,0
633,02-12-2017,chowan_river,0,0
5526,02-12-2017,arrowhead_beach,0,0
1893,02-12-2017,cannons_ferry,0,0
317,02-17-2017,chowan_river,0,0
4008,02-17-2017,mt_gould,0,0
6325,02-17-2017,point_comfort,0,0
2694,02-17-2017,rocky_hock_lane,0,0
2620,02-19-2017,rocky_hock_lane,0,0
2623,02-19-2017,rocky_hock_lane,0,0
1905,02-19-2017,cannons_ferry,0,0
3864,02-19-2017,mt_gould,0,0
5847,02-19-2017,arrowhead_beach,0,0
5057,02-19-2017,arrowhead_beach,0,0
6254,02-19-2017,point_comfort,0,0
6247,02-19-2017,point_comfort,0,0
5536,02-19-2017,arrowhead_beach,0,0
1694,03-04-2017,cannons_ferry,0,0
337,03-04-2017,chowan_river,0,0
5811,03-11-2017,arrowhead_beach,0,0
2780,03-11-2017,rocky_hock_lane,0,0
2196,03-11-2017,cannons_ferry,0,0
3483,03-16-2017,rocky_hock_lane,0,0
4567,03-16-2017,mt_gould,0,0
4945,03-16-2017,arrowhead_beach,0,0
880,03-16-2017,chowan_river,0,0
7130,03-16-2017,point_comfort,0,0
1250,03-16-2017,cannons_ferry,0,0
5962,04-02-2017,arrowhead_beach,0,0
690,04-02-2017,chowan_river,0,0
2346,04-02-2017,cannons_ferry,0,0
4631,04-02-2017,mt_gould,0,0
6402,04-02-2017,point_comfort,0,0
2770,04-02-2017,rocky_hock_lane,0,0
5465,04-04-2017,arrowhead_beach,0,0
4464,04-04-2017,mt_gould,0,0
2727,04-04-2017,rocky_hock_lane,0,0
6884,04-04-2017,point_comfort,0,0
1829,04-04-2017,cannons_ferry,0,0
4936,04-04-2017,arrowhead_beach,0,0
1244,04-04-2017,cannons_ferry,0,0
5589,04-08-2017,arrowhead_beach,0,0
1419,04-08-2017,cannons_ferry,0,0
4710,04-08-2017,mt_gould,0,0
7147,04-08-2017,point_comfort,0,0
6203,04-08-2017,point_comfort,0,0
124,04-08-2017,chowan_river,0,0
3208,04-08-2017,rocky_hock_lane,0,0
6736,04-10-2017,point_comfort,0,0
1526,04-10-2017,cannons_ferry,0,0
4327,04-10-2017,mt_gould,0,0
842,04-10-2017,chowan_river,0,0
5195,04-10-2017,arrowhead_beach,0,0
3109,04-10-2017,rocky_hock_lane,0,0
3108,04-13-2017,rocky_hock_lane,0,0
6735,04-13-2017,point_comfort,0,0
500,04-13-2017,chowan_river,0,0
5307,04-14-2017,arrowhead_beach,0,0
1230,04-14-2017,cannons_ferry,0,0
2898,04-14-2017,rocky_hock_lane,0,0
6371,04-14-2017,point_comfort,0,0
306,04-16-2017,chowan_river,0,0
5379,04-16-2017,arrowhead_beach,0,0
3998,04-16-2017,mt_gould,0,0
230,04-16-2017,chowan_river,0,0
1690,04-16-2017,cannons_ferry,0,0
6940,04-16-2017,point_comfort,0,0
1705,04-16-2017,cannons_ferry,0,1
3315,04-16-2017,rocky_hock_lane,0,0
5126,04-16-2017,arrowhead_beach,0,0
2827,04-17-2017,rocky_hock_lane,0,0
6458,04-17-2017,point_comfort,0,0
1025,04-17-2017,chowan_river,0,1
1238,04-17-2017,cannons_ferry,0,1
4063,04-17-2017,mt_gould,0,0
5815,04-17-2017,arrowhead_beach,0,0
3449,04-17-2017,rocky_hock_lane,0,0
723,04-21-2017,chowan_river,0,1
469,04-25-2017,chowan_river,0,0
5269,04-27-2017,arrowhead_beach,0,0
2866,04-27-2017,rocky_hock_lane,0,0
6500,04-27-2017,point_comfort,0,0
1605,04-27-2017,cannons_ferry,0,0
3307,04-27-2017,rocky_hock_lane,0,0
1047,04-27-2017,chowan_river,0,0
4184,04-29-2017,mt_gould,0,0
6596,04-29-2017,point_comfort,0,0
405,04-29-2017,chowan_river,0,0
35,04-30-2017,chowan_river,0,0
6948,05-02-2017,point_comfort,0,0
719,05-02-2017,chowan_river,0,0
2365,05-02-2017,cannons_ferry,0,0
2342,05-02-2017,cannons_ferry,0,0
4523,05-02-2017,mt_gould,0,0
952,05-02-2017,chowan_river,0,0
5580,05-02-2017,arrowhead_beach,0,0
3320,05-02-2017,rocky_hock_lane,0,0
6922,05-03-2017,point_comfort,0,0
5740,05-03-2017,arrowhead_beach,0,0
3296,05-03-2017,rocky_hock_lane,0,0
2129,05-03-2017,cannons_ferry,0,0
4578,05-03-2017,mt_gould,0,0
5820,05-08-2017,arrowhead_beach,0,0
947,05-08-2017,chowan_river,0,0
2203,05-08-2017,cannons_ferry,0,0
7221,05-08-2017,point_comfort,0,0
3567,05-08-2017,rocky_hock_lane,0,1
3765,05-08-2017,mt_gould,0,1
11,05-14-2017,chowan_river,0,0
1211,05-15-2017,cannons_ferry,0,0
4789,05-15-2017,mt_gould,0,0
5292,05-15-2017,arrowhead_beach,0,0
7230,05-15-2017,point_comfort,0,0
3577,05-15-2017,rocky_hock_lane,0,1
3040,05-20-2017,rocky_hock_lane,0,0
6671,05-20-2017,point_comfort,0,0
3939,05-20-2017,mt_gould,0,0
253,05-20-2017,chowan_river,0,1
5178,05-26-2017,arrowhead_beach,0,0
508,05-26-2017,chowan_river,0,0
5682,05-26-2017,arrowhead_beach,0,0
3484,05-26-2017,rocky_hock_lane,0,0
1503,05-26-2017,cannons_ferry,0,0
1736,05-26-2017,cannons_ferry,0,0
2695,05-26-2017,rocky_hock_lane,0,0
705,05-26-2017,chowan_river,0,0
1590,05-26-2017,cannons_ferry,0,0
4045,05-26-2017,mt_gould,0,0
3941,05-26-2017,mt_gould,0,0
7132,05-26-2017,point_comfort,0,0
6328,05-26-2017,point_comfort,0,0
212,05-27-2017,chowan_river,0,0
622,05-27-2017,chowan_river,0,0
5521,06-01-2017,arrowhead_beach,0,0
3812,06-01-2017,mt_gould,0,0
504,06-01-2017,chowan_river,0,0
1889,06-01-2017,cannons_ferry,0,1
3616,06-01-2017,rocky_hock_lane,0,0
7264,06-01-2017,point_comfort,0,0
1595,06-02-2017,cannons_ferry,0,0
5059,06-02-2017,arrowhead_beach,0,0
3096,06-02-2017,rocky_hock_lane,0,0
6727,06-02-2017,point_comfort,0,0
3044,06-02-2017,rocky_hock_lane,0,0
729,06-02-2017,chowan_river,0,0
4421,06-02-2017,mt_gould,0,0
1399,06-02-2017,cannons_ferry,0,1
5260,06-02-2017,arrowhead_beach,0,0
1810,06-02-2017,cannons_ferry,0,0
572,06-03-2017,chowan_river,0,0
6197,06-03-2017,point_comfort,0,0
4721,06-03-2017,mt_gould,0,0
924,06-03-2017,chowan_river,0,1
2577,06-03-2017,rocky_hock_lane,0,0
2139,06-04-2017,cannons_ferry,0,1
3911,06-04-2017,mt_gould,0,0
3370,06-04-2017,rocky_hock_lane,0,0
5754,06-04-2017,arrowhead_beach,0,0
7306,06-04-2017,point_comfort,1,0
4129,06-04-2017,mt_gould,0,0
215,06-04-2017,chowan_river,0,0
1031,06-04-2017,chowan_river,0,1
1575,06-04-2017,cannons_ferry,0,1
2774,06-04-2017,rocky_hock_lane,0,0
4565,06-04-2017,mt_gould,0,1
1418,06-04-2017,cannons_ferry,0,1
7324,06-04-2017,point_comfort,1,0
5242,06-04-2017,arrowhead_beach,0,0
1340,06-04-2017,cannons_ferry,0,1
5409,06-04-2017,arrowhead_beach,0,1
2116,06-04-2017,cannons_ferry,0,0
6567,06-09-2017,point_comfort,0,0
3659,06-10-2017,rocky_hock_lane,1,1
43,06-10-2017,chowan_river,0,1
