date,pred
07-15-2021,-7
10-21-2016,-5
08-18-2023,-9
11-01-2021,-9
11-20-2020,-9
12-19-2020,-4
05-30-2019,-2
09-17-2022,-4
02-01-2019,-6
12-08-2020,-20
11-02-2023,-19
12-11-2023,-16
04-05-2018,-7
04-08-2022,-11
12-12-2023,-13
05-14-2017,-5
05-31-2021,-13
08-23-2023,-12
03-11-2021,-9
10-09-2022,-15
03-26-2019,0
09-26-2022,-12
10-25-2023,-19
07-25-2021,-2
09-13-2021,-1
12-26-2018,-6
11-18-2020,-5
04-27-2017,-9
11-16-2020,-19
07-20-2023,-2
01-05-2020,-3
11-06-2023,-12
11-11-2018,-6
07-15-2021,-7
06-05-2022,-11
06-01-2024,-7
08-09-2022,-9
02-02-2020,-12
07-13-2023,-8
03-01-2020,-7
07-03-2021,3
06-18-2023,-1
04-02-2022,-16
08-15-2023,-6
10-26-2021,-19
04-30-2017,-1
05-07-2022,-11
03-30-2019,-5
09-19-2022,-7
11-21-2020,-14
01-11-2022,-18
02-28-2020,-7
07-22-2020,2
06-10-2017,-5
07-02-2019,-1
10-17-2016,-5
12-12-2018,-3
07-04-2022,-9
05-19-2019,0
08-30-2021,-10
07-06-2017,2
07-12-2017,-7
11-21-2018,-11
12-12-2019,-5
07-01-2023,1
02-24-2024,-13
08-25-2021,0
07-31-2019,2
03-25-2023,-10
01-27-2020,-7
06-19-2022,-11
10-24-2020,-12
09-27-2022,-17
04-22-2018,0
10-05-2020,-11
08-30-2023,-5
04-22-2020,-11
04-03-2021,-8
04-12-2018,-2
12-21-2023,-20
10-20-2022,-16
09-18-2022,-5
04-19-2023,-7
03-31-2024,-12
07-09-2018,-2
02-21-2023,-9
02-23-2023,-3
11-19-2022,-13
11-26-2022,-18
06-30-2019,0
01-11-2022,-18
08-10-2018,0
10-19-2017,-9
06-14-2023,-9
10-22-2017,-1
03-19-2023,-14
06-16-2021,-11
10-01-2021,-15
06-01-2019,-10
07-09-2021,-5
12-16-2023,-6
11-27-2017,-7
09-07-2020,-4
11-30-2017,-1
10-19-2021,-15
10-22-2020,-5
10-15-2019,0
06-08-2020,2
07-01-2021,-9
02-14-2022,-7
10-31-2021,-17
07-25-2019,1
05-16-2019,-2
07-03-2018,0
