Waterbody,StationDesc,Storet,DateCollected,County,Smplid,AlgalGroup,Genus,Species,Cell Density,Unit Density,Biovolume,Lat,Long
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,01/26/16,Chowan,11305-2016,Cyanobacteria,Pseudanabaena,spp.,871,73,9,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/16/16,Chowan,11377-2016,Chlorophyta,Chlamydomonas,spp.,36,36,22,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/16/16,Chowan,11377-2016,Cryptophyta,Cryptomonas,spp.,1234,1234,1604,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/16/16,Chowan,11377-2016,Euglenophyta,Eutreptia,spp.,109,109,161,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/16/16,Chowan,11377-2016,Pyrrhophyta,Karlodinium,veneficum,36,36,5,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/16/16,Chowan,11377-2016,Cryptophyta,Komma,caudata,1779,1779,178,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/16/16,Chowan,11377-2016,Chrysophyceae,Mallomonas,akrokomos,109,109,14,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/16/16,Chowan,11377-2016,Chrysophyceae,Mallomonas,caudata,36,36,32,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/16/16,Chowan,11377-2016,Chlorophyta,Nephroselmis,species,363,363,11,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/16/16,Chowan,11377-2016,Chrysophyceae,Pseudopedinella,pyriforme,109,109,11,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/16/16,Chowan,11377-2016,Chlorophyta,Spermatozoopsis,exultans,36,36,0,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/16/16,Chowan,11377-2016,Euglenophyta,Trachelomonas,spp.,290,290,667,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,03/16/16,Chowan,11377-2016,Bacillariophyceae,Undetermined centric,spp.,36,36,5,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/25/16,Chowan,11410-2016,Bacillariophyceae,Aulacoseira,spp.,73,36,15,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/25/16,Chowan,11410-2016,Chlorophyta,Chlamydomonas,spp.,182,182,109,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/25/16,Chowan,11410-2016,Cryptophyta,Cryptomonas,spp.,145,145,188,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/25/16,Chowan,11410-2016,Cryptophyta,Komma,caudata,2614,2614,261,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/25/16,Chowan,11410-2016,Chrysophyceae,Mallomonas,caudata,327,327,288,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,04/25/16,Chowan,11410-2016,Chlorophyta,Spermatozoopsis,exultans,109,109,1,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,05/19/16,Chowan,11485-2016,Cryptophyta,Komma,caudata,36,36,4,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,05/19/16,Chowan,11485-2016,Chlorophyta,Nephroselmis,species,145,145,4,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,05/19/16,Chowan,11485-2016,Chlorophyta,Spermatozoopsis,exultans,145,145,1,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,06/27/16,Chowan,11512-2016,Bacillariophyceae,Aulacoseira,spp.,73,36,15,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,06/27/16,Chowan,11512-2016,Cryptophyta,Cryptomonas,spp.,145,145,188,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,06/27/16,Chowan,11512-2016,Pyrrhophyta,Karlodinium,veneficum,36,36,5,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,06/27/16,Chowan,11512-2016,Cryptophyta,Komma,caudata,1162,1162,116,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,06/27/16,Chowan,11512-2016,Chrysophyceae,Mallomonas,caudata,73,73,64,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,06/27/16,Chowan,11512-2016,Chrysophyceae,Mallomonas,acaroides,36,36,32,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,06/27/16,Chowan,11512-2016,Chrysophyceae,Mallomonas,akrokomos,73,73,9,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,06/27/16,Chowan,11512-2016,Chlorophyta,Spermatozoopsis,exultans,617,617,6,36.20983,-76.72677
Chowan River,Chowan Riv at CM 7 at Colerain,D8950000,06/27/16,Chowan,11512-2016,Bacillariophyceae,Undetermined centric,spp.,182,182,25,36.20983,-76.72677
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,06/27/16,Bertie,11513-2016,Cyanobacteria,Aphanizomenon,spp.,145,36,2,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,06/27/16,Bertie,11513-2016,Prymnesiophyceae,Chrysochromulina,spp.,109,109,57,36.04760,-76.69611
Chowan River,Chowan Riv at US 17 at Edenhouse,D9490000,06/27/16,Bertie,11513-2016,Cryptophyta,Cryptomonas,spp.,218,218,283,36.04760,-76.69611
